OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,ALARM_DESC_TW
OHCV_5,1,2,[M40001][SYS_A],[M40001][SYS_A]
OHCV_5,2,2,[M40002][SYS_A]Interlock,[M40002][SYS_A]Interlock
OHCV_5,3,2,[M40003][SYS_A]AIR Low,[M40003][SYS_A]AIR Low
OHCV_5,4,2,[M40004][SYS_A]Vaccum Low,[M40004][SYS_A]Vaccum Low
OHCV_5,5,2,[M40005][SYS_A],[M40005][SYS_A]
OHCV_5,6,2,[M40006][SYS_A],[M40006][SYS_A]
OHCV_5,7,2,[M40007][SYS_A],[M40007][SYS_A]
OHCV_5,8,2,[M40008][SYS_A],[M40008][SYS_A]
OHCV_5,9,2,[M40009][SYS_A],[M40009][SYS_A]
OHCV_5,10,2,[M40010][SYS_A]P7 BOX ERROR,[M40010][SYS_A]P7 BOX ERROR
OHCV_5,11,2,[M40011][SYS_A]P9 BOX ERROR,[M40011][SYS_A]P9 BOX ERROR
OHCV_5,12,2,[M40012][SYS_A],[M40012][SYS_A]
OHCV_5,13,2,[M40013][SYS_A],[M40013][SYS_A]
OHCV_5,14,2,[M40014][SYS_A],[M40014][SYS_A]
OHCV_5,15,2,[M40015][SYS_A],[M40015][SYS_A]
OHCV_5,16,2,[M40016][SYS_A],[M40016][SYS_A]
OHCV_5,17,2,[M40017][SYS_A],[M40017][SYS_A]
OHCV_5,18,2,[M40018][SYS_A],[M40018][SYS_A]
OHCV_5,19,2,[M40019][SYS_A],[M40019][SYS_A]
OHCV_5,20,2,[M40020][SYS_A]EMO ON_MAIN,[M40020][SYS_A]EMO觸發_MAIN
OHCV_5,21,2,[M40021][SYS_A],[M40021][SYS_A]
OHCV_5,22,2,[M40022][SYS_A]EMO trigger _ handheld man-machine,[M40022][SYS_A]EMO觸發_手持人機
OHCV_5,23,2,[M40023][SYS_A],[M40023][SYS_A]
OHCV_5,24,2,[M40024][SYS_A],[M40024][SYS_A]
OHCV_5,25,2,[M40025][SYS_A]Maintance door open,[M40025][SYS_A]維修門開啟
OHCV_5,26,2,[M40026][SYS_A],[M40026][SYS_A]
OHCV_5,27,2,[M40027][SYS_A],[M40027][SYS_A]
OHCV_5,28,2,[M40028][SYS_A],[M40028][SYS_A]
OHCV_5,29,2,[M40029][SYS_A],[M40029][SYS_A]
OHCV_5,30,2,[M40030][SYS_A],[M40030][SYS_A]
OHCV_5,31,2,[M40031][SYS_A],[M40031][SYS_A]
OHCV_5,32,2,[M40032][SYS_A],[M40032][SYS_A]
OHCV_5,33,2,[M40033][SYS_A],[M40033][SYS_A]
OHCV_5,34,2,[M40034][SYS_A],[M40034][SYS_A]
OHCV_5,35,2,[M40035][SYS_A],[M40035][SYS_A]
OHCV_5,36,2,[M40036][SYS_A],[M40036][SYS_A]
OHCV_5,37,2,[M40037][SYS_A],[M40037][SYS_A]
OHCV_5,38,2,[M40038][SYS_A],[M40038][SYS_A]
OHCV_5,39,2,[M40039][SYS_A],[M40039][SYS_A]
OHCV_5,40,2,[M40040][SYS_A],[M40040][SYS_A]
OHCV_5,41,2,[M40041][SYS_A],[M40041][SYS_A]
OHCV_5,42,2,[M40042][SYS_A],[M40042][SYS_A]
OHCV_5,43,2,[M40043][SYS_A],[M40043][SYS_A]
OHCV_5,44,2,[M40044][SYS_A],[M40044][SYS_A]
OHCV_5,45,2,[M40045][SYS_A],[M40045][SYS_A]
OHCV_5,46,2,[M40046][SYS_A],[M40046][SYS_A]
OHCV_5,47,2,[M40047][SYS_A],[M40047][SYS_A]
OHCV_5,48,2,[M40048][SYS_A],[M40048][SYS_A]
OHCV_5,49,2,[M40049][SYS_A],[M40049][SYS_A]
OHCV_5,50,2,[M40050][SYS_A],[M40050][SYS_A]
OHCV_5,51,2,[M40051][SYS_A],[M40051][SYS_A]
OHCV_5,52,2,[M40052][SYS_A],[M40052][SYS_A]
OHCV_5,53,2,[M40053][SYS_A],[M40053][SYS_A]
OHCV_5,54,2,[M40054][SYS_A],[M40054][SYS_A]
OHCV_5,55,2,[M40055][SYS_A],[M40055][SYS_A]
